 < PalRes , 7 > 
 < PalRes , 10 > 
 < Id , 1 > 
 < Pcoma , - > 
 < PalRes , 4 > 
 < PalRes , 6 > 
 < Id , 2 > 
 < AbrePar , - > 
 < PalRes , 6 > 
 < Id , -1 > 
 < CierraPar , - > 
 < Id , 0 > 
 < Id , 0 > 
 < Id , 0 > 
 < Id , 0 > 
 < Id , -1 > 
 < Id , 0 > 
 < AbreCorch , - > 
 < PalRes , 5 > 
 < AbrePar , - > 
 < Id , -1 > 
 < Mayor , - > 
 < Entero , 0 > 
 < CierraPar , - > 
 < PalRes , 9 > 
 < Entero , 1 > 
 < Pcoma , - > 
 < PalRes , 9 > 
 < Id , -1 > 
 < Id , 2 > 
 < AbrePar , - > 
 < Id , -1 > 
 < Inc , - > 
 < Entero , 1 > 
 < CierraPar , - > 
 < Pcoma , - > 
 < CierraCorch , - > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , 3 > 
 < Igual , - > 
 < Entero , 1 > 
 < Pcoma , - > 
 < Id , 4 > 
 < Id , 5 > 
 < Id , 6 > 
 < Id , 4 > 
 < Id , 7 > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , 8 > 
 < Igual , - > 
 < Id , 3 > 
 < Pcoma , - > 
 < PalRes , 4 > 
 < PalRes , 10 > 
 < Id , 9 > 
 < AbrePar , - > 
 < PalRes , 11 > 
 < CierraPar , - > 
 < AbreCorch , - > 
 < PalRes , 9 > 
 < Id , 4 > 
 < CierraCorch , - > 
 < PalRes , 4 > 
 < PalRes , 6 > 
 < Id , 10 > 
 < AbrePar , - > 
 < PalRes , 6 > 
 < Id , -1 > 
 < CierraPar , - > 
 < AbreCorch , - > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , -2 > 
 < Igual , - > 
 < Entero , 0 > 
 < Id , 3 > 
 < Entero , 1 > 
 < Pcoma , - > 
 < Id , 0 > 
 < AbreCorch , - > 
 < Id , -2 > 
 < Inc , - > 
 < Id , -1 > 
 < Pcoma , - > 
 < Id , -2 > 
 < Igual , - > 
 < Id , -2 > 
 < Id , -1 > 
 < Pcoma , - > 
 < Id , -1 > 
 < Igual , - > 
 < Id , -1 > 
 < Menos , - > 
 < Entero , 1 > 
 < Pcoma , - > 
 < CierraCorch , - > 
 < Id , 11 > 
 < AbrePar , - > 
 < Not , - > 
 < AbrePar , - > 
 < Entero , 0 > 
 < Mayor , - > 
 < Id , 4 > 
 < CierraPar , - > 
 < CierraPar , - > 
 < Pcoma , - > 
 < PalRes , 9 > 
 < Id , 12 > 
 < Pcoma , - > 
 < CierraCorch , - > 
 < PalRes , 4 > 
 < PalRes , 6 > 
 < Id , 13 > 
 < AbrePar , - > 
 < PalRes , 11 > 
 < CierraPar , - > 
 < AbreCorch , - > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , -1 > 
 < Igual , - > 
 < Entero , 1 > 
 < Pcoma , - > 
 < Id , -1 > 
 < Id , 0 > 
 < Id , 0 > 
 < Entero , 1 > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , -2 > 
 < Pcoma , - > 
 < Id , -2 > 
 < Id , 0 > 
 < Id , 0 > 
 < Entero , 0 > 
 < Id , 0 > 
 < Id , 4 > 
 < Id , 11 > 
 < AbrePar , - > 
 < Id , 0 > 
 < Id , -2 > 
 < CierraPar , - > 
 < AbreCorch , - > 
 < Id , -1 > 
 < Inc , - > 
 < Id , -2 > 
 < Pcoma , - > 
 < Id , -2 > 
 < Igual , - > 
 < Id , -2 > 
 < Entero , 1 > 
 < Pcoma , - > 
 < Id , -1 > 
 < Igual , - > 
 < Id , -1 > 
 < Id , -2 > 
 < Pcoma , - > 
 < CierraCorch , - > 
 < PalRes , 9 > 
 < Id , 12 > 
 < Pcoma , - > 
 < CierraCorch , - > 
 < PalRes , 4 > 
 < PalRes , 6 > 
 < Id , 14 > 
 < AbrePar , - > 
 < PalRes , 6 > 
 < Id , -1 > 
 < CierraPar , - > 
 < AbreCorch , - > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , -2 > 
 < Pcoma , - > 
 < PalRes , 7 > 
 < PalRes , 6 > 
 < Id , -3 > 
